blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,8,3,67,6,0.2727272727272727
DeepSeek-V3,24,0,60,0,0.0
DS-R1-Dist-Llama-70B,15,0,62,7,0.0
DS-R1-Dist-Llama-8B,11,2,66,5,0.15384615384615385
DS-R1-Dist-Qwen-14B,11,1,71,1,0.08333333333333333
DS-R1-Dist-Qwen-32B,13,3,57,11,0.1875
DS-R1-Dist-Qwen-7B,11,1,67,5,0.08333333333333333
GPT-3.5-turbo,7,0,72,5,0.0
GPT-4o,22,0,62,0,0.0
Llama3.1-8B,20,0,63,1,0.0
Llama3.3-70B,22,0,62,0,0.0
o3-mini,7,0,58,19,0.0
Qwen2.5-14B,11,3,53,17,0.21428571428571427
Qwen2.5-32B,10,0,73,1,0.0
Qwen2.5-7B,8,3,34,39,0.2727272727272727
