blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,10,1,53,20,0.09090909090909091
DeepSeek-V3,21,3,47,13,0.125
DS-R1-Dist-Llama-70B,14,1,55,14,0.06666666666666667
DS-R1-Dist-Llama-8B,11,2,58,13,0.15384615384615385
DS-R1-Dist-Qwen-14B,12,0,50,22,0.0
DS-R1-Dist-Qwen-32B,14,2,42,26,0.125
DS-R1-Dist-Qwen-7B,11,1,60,12,0.08333333333333333
GPT-3.5-turbo,7,0,74,3,0.0
GPT-4o,22,0,60,2,0.0
Llama3.1-8B,20,0,64,0,0.0
Llama3.3-70B,21,1,60,2,0.045454545454545456
o3-mini,4,3,3,74,0.42857142857142855
Qwen2.5-14B,13,1,44,26,0.07142857142857142
Qwen2.5-32B,10,0,58,16,0.0
Qwen2.5-7B,11,0,44,29,0.0
