blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
combo_C3,25,10,133,42,0.2857142857142857
combo_D4+D5+D6+D7,25,10,106,69,0.2857142857142857
combo_D8,28,7,105,70,0.2
combo_C1,29,6,104,71,0.17142857142857143
combo_D1+D2+D3,29,6,120,55,0.17142857142857143
combo_L8,29,6,131,44,0.17142857142857143
combo_L1,30,5,104,71,0.14285714285714285
combo_L3,30,5,106,69,0.14285714285714285
combo_L4+L5+L6,31,4,117,58,0.11428571428571428
combo_L7,31,4,131,44,0.11428571428571428
combo_C2,32,3,105,70,0.08571428571428572
combo_L2,32,3,111,64,0.08571428571428572
