blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,0,0,210,0.0
DeepSeek-V3,0,0,154,56,0.0
DS-R1-Dist-Llama-70B,25,10,133,42,0.2857142857142857
DS-R1-Dist-Llama-8B,31,3,151,25,0.08823529411764706
DS-R1-Dist-Qwen-14B,24,3,136,47,0.1111111111111111
DS-R1-Dist-Qwen-32B,25,5,117,63,0.16666666666666666
DS-R1-Dist-Qwen-7B,27,1,166,16,0.03571428571428571
GPT-3.5-turbo,0,0,0,210,0.0
GPT-4o,0,56,0,154,1.0
Llama3.1-8B,30,2,164,14,0.0625
Llama3.3-70B,47,1,136,26,0.020833333333333332
o3-mini,3,2,32,173,0.4
Qwen2.5-14B,25,3,133,49,0.10714285714285714
Qwen2.5-32B,31,2,160,17,0.06060606060606061
Qwen2.5-7B,15,9,84,102,0.375
