blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,0,0,210,0.0
DeepSeek-V3,0,0,67,143,0.0
DS-R1-Dist-Llama-70B,25,10,106,69,0.2857142857142857
DS-R1-Dist-Llama-8B,28,6,116,60,0.17647058823529413
DS-R1-Dist-Qwen-14B,22,5,113,70,0.18518518518518517
DS-R1-Dist-Qwen-32B,26,4,86,94,0.13333333333333333
DS-R1-Dist-Qwen-7B,23,5,155,27,0.17857142857142858
GPT-3.5-turbo,0,0,0,210,0.0
GPT-4o,54,2,147,7,0.03571428571428571
Llama3.1-8B,29,3,132,46,0.09375
Llama3.3-70B,41,7,145,17,0.14583333333333334
o3-mini,3,2,36,169,0.4
Qwen2.5-14B,28,0,96,86,0.0
Qwen2.5-32B,33,0,123,54,0.0
Qwen2.5-7B,20,4,87,99,0.16666666666666666
