blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
combo_C3,0,22,0,121,1.0
combo_D1+D2+D3,7,15,8,113,0.6818181818181818
combo_L8,8,14,8,113,0.6363636363636364
combo_C1,10,12,11,110,0.5454545454545454
combo_L1,10,12,10,111,0.5454545454545454
combo_L4+L5+L6,12,10,11,110,0.45454545454545453
combo_D4+D5+D6+D7,13,9,15,106,0.4090909090909091
combo_D8,13,9,11,110,0.4090909090909091
combo_C2,14,8,14,107,0.36363636363636365
combo_L7,14,8,12,109,0.36363636363636365
combo_L2,15,7,16,105,0.3181818181818182
combo_L3,15,7,11,110,0.3181818181818182
