blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,45,6,30,3,0.11764705882352941
DeepSeek-V3,59,0,25,0,0.0
DS-R1-Dist-Llama-70B,50,3,27,4,0.05660377358490566
DS-R1-Dist-Llama-8B,61,5,16,2,0.07575757575757576
DS-R1-Dist-Qwen-14B,49,1,33,1,0.02
DS-R1-Dist-Qwen-32B,39,4,31,10,0.09302325581395349
DS-R1-Dist-Qwen-7B,71,5,7,1,0.06578947368421052
GPT-3.5-turbo,56,2,23,3,0.034482758620689655
GPT-4o,82,0,2,0,0.0
Llama3.1-8B,83,1,0,0,0.011904761904761904
Llama3.3-70B,82,0,2,0,0.0
o3-mini,12,1,53,18,0.07692307692307693
Qwen2.5-14B,30,6,34,14,0.16666666666666666
Qwen2.5-32B,26,1,57,0,0.037037037037037035
Qwen2.5-7B,26,19,16,23,0.4222222222222222
