blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,40,11,21,12,0.21568627450980393
DeepSeek-V3,56,3,9,16,0.05084745762711865
DS-R1-Dist-Llama-70B,44,9,19,12,0.16981132075471697
DS-R1-Dist-Llama-8B,53,13,12,6,0.19696969696969696
DS-R1-Dist-Qwen-14B,27,23,17,17,0.46
DS-R1-Dist-Qwen-32B,37,6,17,24,0.13953488372093023
DS-R1-Dist-Qwen-7B,71,5,8,0,0.06578947368421052
GPT-3.5-turbo,54,4,21,5,0.06896551724137931
GPT-4o,82,0,1,1,0.0
Llama3.1-8B,84,0,0,0,0.0
Llama3.3-70B,82,0,1,1,0.0
o3-mini,8,5,6,65,0.38461538461538464
Qwen2.5-14B,30,6,14,34,0.16666666666666666
Qwen2.5-32B,27,0,30,27,0.0
Qwen2.5-7B,32,13,7,32,0.28888888888888886
