blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,43,8,31,2,0.1568627450980392
DeepSeek-V3,58,1,25,0,0.01694915254237288
DS-R1-Dist-Llama-70B,46,7,23,8,0.1320754716981132
DS-R1-Dist-Llama-8B,58,8,16,2,0.12121212121212122
DS-R1-Dist-Qwen-14B,41,9,29,5,0.18
DS-R1-Dist-Qwen-32B,38,5,33,8,0.11627906976744186
DS-R1-Dist-Qwen-7B,73,3,8,0,0.039473684210526314
GPT-3.5-turbo,53,5,23,3,0.08620689655172414
GPT-4o,82,0,2,0,0.0
Llama3.1-8B,83,1,0,0,0.011904761904761904
Llama3.3-70B,82,0,2,0,0.0
o3-mini,8,5,22,49,0.38461538461538464
Qwen2.5-14B,35,1,37,11,0.027777777777777776
Qwen2.5-32B,27,0,52,5,0.0
Qwen2.5-7B,38,7,18,21,0.15555555555555556
