blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
combo_C1,80,39,35,56,0.3277310924369748
combo_L1,82,37,30,61,0.31092436974789917
combo_C2,87,32,24,67,0.2689075630252101
combo_D1+D2+D3,89,30,32,59,0.25210084033613445
combo_L2,90,29,33,58,0.24369747899159663
combo_D8,96,23,36,55,0.19327731092436976
combo_L3,97,22,29,62,0.18487394957983194
combo_L4+L5+L6,97,22,32,59,0.18487394957983194
combo_D4+D5+D6+D7,98,21,37,54,0.17647058823529413
combo_C3,100,19,60,31,0.15966386554621848
combo_L8,102,17,52,39,0.14285714285714285
combo_L7,105,14,42,49,0.11764705882352941
