blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
combo_C3,43,16,9,60,0.2711864406779661
combo_C2,45,14,11,58,0.23728813559322035
combo_L1,45,14,14,55,0.23728813559322035
combo_L8,46,13,9,60,0.22033898305084745
combo_C1,47,12,7,62,0.2033898305084746
combo_D1+D2+D3,49,10,9,60,0.1694915254237288
combo_D4+D5+D6+D7,49,10,11,58,0.1694915254237288
combo_L4+L5+L6,49,10,9,60,0.1694915254237288
combo_L7,49,10,10,59,0.1694915254237288
combo_D8,52,7,12,57,0.11864406779661017
combo_L3,52,7,11,58,0.11864406779661017
combo_L2,53,6,12,57,0.1016949152542373
