blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,9,18,5,111,0.6666666666666666
DeepSeek-V3,12,10,11,110,0.45454545454545453
DS-R1-Dist-Llama-70B,0,5,7,131,1.0
DS-R1-Dist-Llama-8B,0,14,7,122,1.0
DS-R1-Dist-Qwen-14B,2,6,12,123,0.75
DS-R1-Dist-Qwen-32B,6,20,7,110,0.7692307692307693
DS-R1-Dist-Qwen-7B,2,9,7,125,0.8181818181818182
GPT-3.5-turbo,7,5,5,126,0.4166666666666667
GPT-4o,9,14,3,117,0.6086956521739131
Llama3.1-8B,13,6,7,117,0.3157894736842105
Llama3.3-70B,14,8,4,117,0.36363636363636365
o3-mini,0,3,3,137,1.0
Qwen2.5-14B,9,2,17,115,0.18181818181818182
Qwen2.5-32B,9,3,17,114,0.25
Qwen2.5-7B,5,6,6,126,0.5454545454545454
