blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,9,18,10,106,0.6666666666666666
DeepSeek-V3,15,7,11,110,0.3181818181818182
DS-R1-Dist-Llama-70B,2,3,19,119,0.6
DS-R1-Dist-Llama-8B,1,13,18,111,0.9285714285714286
DS-R1-Dist-Qwen-14B,4,4,10,125,0.5
DS-R1-Dist-Qwen-32B,11,15,3,114,0.5769230769230769
DS-R1-Dist-Qwen-7B,3,8,5,127,0.7272727272727273
GPT-3.5-turbo,7,5,6,125,0.4166666666666667
GPT-4o,10,13,4,116,0.5652173913043478
Llama3.1-8B,15,4,9,115,0.21052631578947367
Llama3.3-70B,14,8,8,113,0.36363636363636365
o3-mini,1,2,2,138,0.6666666666666666
Qwen2.5-14B,11,0,28,104,0.0
Qwen2.5-32B,5,7,16,115,0.5833333333333334
Qwen2.5-7B,3,8,4,128,0.7272727272727273
