blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,27,1,115,1.0
DeepSeek-V3,0,22,0,121,1.0
DS-R1-Dist-Llama-70B,0,5,0,138,1.0
DS-R1-Dist-Llama-8B,2,12,2,127,0.8571428571428571
DS-R1-Dist-Qwen-14B,0,8,0,135,1.0
DS-R1-Dist-Qwen-32B,0,26,1,116,1.0
DS-R1-Dist-Qwen-7B,0,11,0,132,1.0
GPT-3.5-turbo,1,11,4,127,0.9166666666666666
GPT-4o,4,19,0,120,0.8260869565217391
Llama3.1-8B,5,14,3,121,0.7368421052631579
Llama3.3-70B,1,21,2,119,0.9545454545454546
o3-mini,0,3,2,138,1.0
Qwen2.5-14B,1,10,12,120,0.9090909090909091
Qwen2.5-32B,3,9,3,128,0.75
Qwen2.5-7B,0,11,0,132,1.0
