blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,10,17,10,106,0.6296296296296297
DeepSeek-V3,13,9,11,110,0.4090909090909091
DS-R1-Dist-Llama-70B,2,3,12,126,0.6
DS-R1-Dist-Llama-8B,2,12,11,118,0.8571428571428571
DS-R1-Dist-Qwen-14B,5,3,10,125,0.375
DS-R1-Dist-Qwen-32B,8,18,6,111,0.6923076923076923
DS-R1-Dist-Qwen-7B,2,9,9,123,0.8181818181818182
GPT-3.5-turbo,6,6,5,126,0.5
GPT-4o,11,12,5,115,0.5217391304347826
Llama3.1-8B,11,8,11,113,0.42105263157894735
Llama3.3-70B,10,12,7,114,0.5454545454545454
o3-mini,2,1,4,136,0.3333333333333333
Qwen2.5-14B,9,2,21,111,0.18181818181818182
Qwen2.5-32B,9,3,14,117,0.25
Qwen2.5-7B,4,7,4,128,0.6363636363636364
