blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,0,0,210,0.0
DeepSeek-V3,0,0,0,210,0.0
DS-R1-Dist-Llama-70B,21,14,20,155,0.4
DS-R1-Dist-Llama-8B,15,19,16,160,0.5588235294117647
DS-R1-Dist-Qwen-14B,15,12,14,169,0.4444444444444444
DS-R1-Dist-Qwen-32B,14,16,12,168,0.5333333333333333
DS-R1-Dist-Qwen-7B,14,14,10,172,0.5
GPT-3.5-turbo,0,0,0,210,0.0
GPT-4o,38,18,15,139,0.32142857142857145
Llama3.1-8B,17,15,12,166,0.46875
Llama3.3-70B,28,20,11,151,0.4166666666666667
o3-mini,4,1,8,197,0.2
Qwen2.5-14B,17,11,19,163,0.39285714285714285
Qwen2.5-32B,24,9,11,166,0.2727272727272727
Qwen2.5-7B,10,14,6,180,0.5833333333333334
