blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,0,0,210,0.0
DeepSeek-V3,0,0,34,176,0.0
DS-R1-Dist-Llama-70B,12,23,13,162,0.6571428571428571
DS-R1-Dist-Llama-8B,15,19,16,160,0.5588235294117647
DS-R1-Dist-Qwen-14B,11,16,20,163,0.5925925925925926
DS-R1-Dist-Qwen-32B,14,16,9,171,0.5333333333333333
DS-R1-Dist-Qwen-7B,11,17,5,177,0.6071428571428571
GPT-3.5-turbo,0,0,0,210,0.0
GPT-4o,0,56,0,154,1.0
Llama3.1-8B,16,16,13,165,0.5
Llama3.3-70B,21,27,9,153,0.5625
o3-mini,1,4,3,202,0.8
Qwen2.5-14B,13,15,26,156,0.5357142857142857
Qwen2.5-32B,14,19,14,163,0.5757575757575758
Qwen2.5-7B,7,17,5,181,0.7083333333333334
