blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,0,0,0,210,0.0
DeepSeek-V3,0,0,0,210,0.0
DS-R1-Dist-Llama-70B,115,18,47,30,0.13533834586466165
DS-R1-Dist-Llama-8B,129,28,38,15,0.17834394904458598
DS-R1-Dist-Qwen-14B,105,14,42,49,0.11764705882352941
DS-R1-Dist-Qwen-32B,91,23,48,48,0.20175438596491227
DS-R1-Dist-Qwen-7B,170,8,16,16,0.0449438202247191
GPT-3.5-turbo,0,0,0,210,0.0
GPT-4o,196,2,10,2,0.010101010101010102
Llama3.1-8B,40,158,0,12,0.797979797979798
Llama3.3-70B,187,7,12,4,0.03608247422680412
o3-mini,17,18,36,139,0.5142857142857142
Qwen2.5-14B,86,15,62,47,0.1485148514851485
Qwen2.5-32B,128,6,49,27,0.04477611940298507
Qwen2.5-7B,68,33,48,61,0.32673267326732675
