blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,58,28,36,21,0.32558139534883723
DeepSeek-V3,107,7,27,2,0.06140350877192982
DS-R1-Dist-Llama-70B,50,20,47,26,0.2857142857142857
DS-R1-Dist-Llama-8B,14,30,55,44,0.6818181818181818
DS-R1-Dist-Qwen-14B,62,12,53,16,0.16216216216216217
DS-R1-Dist-Qwen-32B,69,19,46,9,0.2159090909090909
DS-R1-Dist-Qwen-7B,122,8,12,1,0.06153846153846154
GPT-3.5-turbo,69,9,54,11,0.11538461538461539
GPT-4o,142,0,1,0,0.0
Llama3.1-8B,141,1,1,0,0.007042253521126761
Llama3.3-70B,140,0,1,2,0.0
o3-mini,3,3,44,93,0.5
Qwen2.5-14B,54,2,74,13,0.03571428571428571
Qwen2.5-32B,67,0,70,6,0.0
Qwen2.5-7B,58,34,31,20,0.3695652173913043
