blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,57,29,28,29,0.3372093023255814
DeepSeek-V3,102,12,17,12,0.10526315789473684
DS-R1-Dist-Llama-70B,49,21,43,30,0.3
DS-R1-Dist-Llama-8B,22,22,75,24,0.5
DS-R1-Dist-Qwen-14B,50,24,34,35,0.32432432432432434
DS-R1-Dist-Qwen-32B,59,29,23,32,0.32954545454545453
DS-R1-Dist-Qwen-7B,121,9,12,1,0.06923076923076923
GPT-3.5-turbo,71,7,41,24,0.08974358974358974
GPT-4o,142,0,1,0,0.0
Llama3.1-8B,142,0,1,0,0.0
Llama3.3-70B,140,0,3,0,0.0
o3-mini,5,1,8,129,0.16666666666666666
Qwen2.5-14B,53,3,50,37,0.05357142857142857
Qwen2.5-32B,67,0,42,34,0.0
Qwen2.5-7B,74,18,22,29,0.1956521739130435
