blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,6,5,5,68,0.45454545454545453
DeepSeek-V3,16,8,5,55,0.3333333333333333
DS-R1-Dist-Llama-70B,8,7,7,62,0.4666666666666667
DS-R1-Dist-Llama-8B,4,9,6,65,0.6923076923076923
DS-R1-Dist-Qwen-14B,6,6,5,67,0.5
DS-R1-Dist-Qwen-32B,9,7,9,59,0.4375
DS-R1-Dist-Qwen-7B,7,5,2,70,0.4166666666666667
GPT-3.5-turbo,5,2,8,69,0.2857142857142857
GPT-4o,16,6,6,56,0.2727272727272727
Llama3.1-8B,11,9,6,58,0.45
Llama3.3-70B,17,5,3,59,0.22727272727272727
o3-mini,6,1,0,77,0.14285714285714285
Qwen2.5-14B,11,3,5,65,0.21428571428571427
Qwen2.5-32B,8,2,8,66,0.2
Qwen2.5-7B,7,4,3,70,0.36363636363636365
