blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,3,8,3,70,0.7272727272727273
DeepSeek-V3,18,6,6,54,0.25
DS-R1-Dist-Llama-70B,8,7,2,67,0.4666666666666667
DS-R1-Dist-Llama-8B,6,7,5,66,0.5384615384615384
DS-R1-Dist-Qwen-14B,4,8,9,63,0.6666666666666666
DS-R1-Dist-Qwen-32B,11,5,7,61,0.3125
DS-R1-Dist-Qwen-7B,2,10,6,66,0.8333333333333334
GPT-3.5-turbo,3,4,6,71,0.5714285714285714
GPT-4o,10,12,4,58,0.5454545454545454
Llama3.1-8B,10,10,2,62,0.5
Llama3.3-70B,16,6,5,57,0.2727272727272727
o3-mini,2,5,0,77,0.7142857142857143
Qwen2.5-14B,9,5,4,66,0.35714285714285715
Qwen2.5-32B,6,4,11,63,0.4
Qwen2.5-7B,9,2,4,69,0.18181818181818182
