blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,22,5,63,53,0.18518518518518517
DeepSeek-V3,21,1,103,18,0.045454545454545456
DS-R1-Dist-Llama-70B,3,2,78,60,0.4
DS-R1-Dist-Llama-8B,10,4,79,50,0.2857142857142857
DS-R1-Dist-Qwen-14B,6,2,77,58,0.25
DS-R1-Dist-Qwen-32B,16,10,67,50,0.38461538461538464
DS-R1-Dist-Qwen-7B,10,1,121,11,0.09090909090909091
GPT-3.5-turbo,12,0,94,37,0.0
GPT-4o,23,0,120,0,0.0
Llama3.1-8B,19,0,123,1,0.0
Llama3.3-70B,22,0,120,1,0.0
o3-mini,3,0,12,128,0.0
Qwen2.5-14B,10,1,83,49,0.09090909090909091
Qwen2.5-32B,11,1,92,39,0.08333333333333333
Qwen2.5-7B,8,3,76,56,0.2727272727272727
