blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
DeepSeek-R1,20,7,75,41,0.25925925925925924
DeepSeek-V3,20,2,106,15,0.09090909090909091
DS-R1-Dist-Llama-70B,3,2,86,52,0.4
DS-R1-Dist-Llama-8B,7,7,79,50,0.5
DS-R1-Dist-Qwen-14B,6,2,84,51,0.25
DS-R1-Dist-Qwen-32B,18,8,78,39,0.3076923076923077
DS-R1-Dist-Qwen-7B,9,2,121,11,0.18181818181818182
GPT-3.5-turbo,10,2,92,39,0.16666666666666666
GPT-4o,23,0,120,0,0.0
Llama3.1-8B,19,0,124,0,0.0
Llama3.3-70B,22,0,120,1,0.0
o3-mini,2,1,13,127,0.3333333333333333
Qwen2.5-14B,11,0,91,41,0.0
Qwen2.5-32B,12,0,101,30,0.0
Qwen2.5-7B,8,3,78,54,0.2727272727272727
