blind_name,yes_yes,yes_no,no_yes,no_no,blind_rate
combo_C3,11,16,20,163,0.5925925925925926
combo_D1+D2+D3,11,16,16,167,0.5925925925925926
combo_L8,11,16,13,170,0.5925925925925926
combo_L1,13,14,14,169,0.5185185185185185
combo_D4+D5+D6+D7,15,12,18,165,0.4444444444444444
combo_L2,15,12,14,169,0.4444444444444444
combo_L3,15,12,14,169,0.4444444444444444
combo_C1,16,11,14,169,0.4074074074074074
combo_C2,16,11,14,169,0.4074074074074074
combo_D8,16,11,12,171,0.4074074074074074
combo_L7,16,11,8,175,0.4074074074074074
combo_L4+L5+L6,17,10,17,166,0.37037037037037035
